webScraperOrder,webScraperStartUrl,artists,artistsHref,songs,songsHref,lyrics
"1528759977-2271","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني نانسي عجرم","http://aghanilyrics.com/allsongslyrics.php?songslyrics=nancy-ajram&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D8%A7%D9%86%D8%B3%D9%8A-%D8%B9%D8%AC%D8%B1%D9%85","كلمات اغنية ايه اللي جرالي نانسي عجرم","http://aghanilyrics.com/songlyrics.php?lyrics=5232&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%8A%D9%87-%D8%A7%D9%84%D9%84%D9%8A-%D8%AC%D8%B1%D8%A7%D9%84%D9%8A-%D9%86%D8%A7%D9%86%D8%B3%D9%8A-%D8%B9%D8%AC%D8%B1%D9%85","ايه اللى جرالى ليه كده بسهر ليالى

كان ليا فين انا كل ده ياشغلى بالى

قلبى وديته راح عذابه ده اللى معملتش حسابه

اه ياقلبى من اللى فينا مين هيحس بينا

كنت خايفه من غرامك قلبى دوب دوب كلامك

ياما قالوا الحب قادر بكلمه علينا



كان القلب راضى بوحدتى وبعيش فى حالى

وبنظره واحده شغلتنى كان بس مالى

قلبى وديته راح عذابه ده اللى معملتش حسابه

اه ياقلبى من اللى فينا مين هيحس بينا

كنت خايفه من غرامك قلبى دوب دوب كلامك

ياما قالوا الحب قادر بكلمه علينا

ايه اللى جرالى ليه كده بسهر ليالى

كان ليا فين انا كل ده ياشغلى بالى"
"1528754092-440","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني صباح","http://aghanilyrics.com/allsongslyrics.php?songslyrics=sabah&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%B5%D8%A8%D8%A7%D8%AD","كلمات اغنية شو بدي اعمل صباح","http://aghanilyrics.com/songlyrics.php?lyrics=13570&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B4%D9%88-%D8%A8%D8%AF%D9%8A-%D8%A7%D8%B9%D9%85%D9%84-%D8%B5%D8%A8%D8%A7%D8%AD","شو بدي اعمل



أنا قلبي معكم لا تخافوا

الشجرة البتكون كبيرة

منضل نلاقي فيها غصون مكسّرة



شو بدي أعمل قل لي

شو بخلّي وشو ما بخلّي

و ان كان بدك صلّي لك

كل الصلاة رح صلّي



خليني فـرّخ ع سياجك زهرة برية

وبغيابك عربش ع دراجك كل الصيفية

ولما تتلاقى فيّ وتصرخ لي بوجهي فلّي

بدك تقشع عينيّ بتعرف اني عم صلّي

كل الصلاة رح صلّي



ع بابك ليش موقـّفني والباب مسكـّر

قرّب اصابيعك واقطفني عنقودي أشقر

دوق شوية ودوّقني وحبة لبكرا ما تخلّي

ولما ايدك تحرقني ما تقول لي روحي فلّي

كل الصلاة رح صلّي"
"1528753168-92","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني نيلى مقدسي","http://aghanilyrics.com/allsongslyrics.php?songslyrics=nely-makdsy&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D9%8A%D9%84%D9%89-%D9%85%D9%82%D8%AF%D8%B3%D9%8A","كلمات اغنية اوف اوف نيلى مقدسي","http://aghanilyrics.com/songlyrics.php?lyrics=25324&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%88%D9%81-%D8%A7%D9%88%D9%81-%D9%86%D9%8A%D9%84%D9%89-%D9%85%D9%82%D8%AF%D8%B3%D9%8A","عـــلــى حــالك انت بعدك

ما بتعرف ابدا شو بدك

مين مفكر حالك يعني

ما تحلم راح إبقى حدك

لا تحاكـــيــنــي ولا تخبرني

انا قلبي ياما صبّرني

ولو من غيرك انت مين

ضيع من عمــــري سنين

آوف آوف

لا تسهرني ولا تحيرني

آوف آوف

يلي مطيّر عقلـــي مني

منك ياما جن جـــنوني

بحبك انا داوبو عيوني

يا مجنني حل عني

ولو .. آوف آوف

لا تسهرنـــي ولا تحيـــرني

آوف آوف

يلي مـــطيّر عــقـــلــتي مني

منك ياما جن جنوني

بحبك انا دابو عيوني .. ولو



انا دربــي مــش عـــلى دربك

ولا قادر قلبي يـــحــبـــك

انا بحـــالــــي وانــــت بـــحالك

خلي غيري يجرب حبك

ياما ليـــالـــي وانــا سهـــرانــة

بــــدي من هلا تـــنــســـــاني

ولـــو مــش وقــت الي بدك فيك

تـــرجـــعــــلي لا مـــا فــيــــك

آوف آوف

لا تســـهرنـــي ولا تــحيــرنـــي

آوف آوف

يـــلـــي مـــطــيــّر عقــلي منــي

منـــك يـــامــــا جــــن جنــونــي

بـــحـــبــك انـــا دابـــو عـــيـــوني

يا مـــجنـــــني حـــــــــل عـــني

ولــــــــــــــــــــــــــــــــــــــ

ـــو

آوف آوف

لا تــســـهــــرنــي ولا تحيرني

آوف آوف

يــــلــي مـــطـــيــــّر عــــقلي مني

منـــــك يـــامـــا جــــن جــنـــوني

بـــحــبـــك انــــا دابـــو عيــــونــي

يا مــــجنـــــني حـــــــــل عنـــي

ولو"
"1528758680-2088","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني امل حجازي","http://aghanilyrics.com/allsongslyrics.php?songslyrics=amal-hijazi&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%A7%D9%85%D9%84-%D8%AD%D8%AC%D8%A7%D8%B2%D9%8A","كلمات اغنية اخر غرام امل حجازي","http://aghanilyrics.com/songlyrics.php?lyrics=19357&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D8%AE%D8%B1-%D8%BA%D8%B1%D8%A7%D9%85-%D8%A7%D9%85%D9%84-%D8%AD%D8%AC%D8%A7%D8%B2%D9%8A","ياليلي ياليل ياليلي ياليلي ياليل

ياليلي ياليل ياليلي ياليلي ياليل



تناديني الليالي اندهلك 

بالليالي تسامر وحدتي 



يلازمني انيني تطلعلي من حنيني 

تكفكف دمعتي



آخر غرام أجمل غرام خلاني أطير 

لف الفضا احلف مضا عمري الأسير



تصحيني عيونك تدفيني 

بجنونك تجاوب صرختي 



و بحملني زماني اقدملك مكاني 

وحناني وفرحتي



آخر غرام آخر غرام آخر غرام



ياليلي ياليل ياليلي ياليلي ياليل

ياليلي ياليل ياليلي ياليلي ياليل"
"1528755447-939","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني جوزيف عطية","http://aghanilyrics.com/allsongslyrics.php?songslyrics=joseph-attieh&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%AC%D9%88%D8%B2%D9%8A%D9%81-%D8%B9%D8%B7%D9%8A%D8%A9","كلمات اغنية حلوة جوزيف عطية","http://aghanilyrics.com/songlyrics.php?lyrics=14930&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%AD%D9%84%D9%88%D8%A9-%D8%AC%D9%88%D8%B2%D9%8A%D9%81-%D8%B9%D8%B7%D9%8A%D8%A9","حلوة الدنيا حلوة واللة حلوة طول ما



 

انتى جوة حضنى 



 

طول العمر كلة هنعيشة كلة بالحب كلة ولا



 

ثانية تفوت من غير مانغنى واللة



 

دة اللى عندى قلتة واللة انا i love



 

you 



 

شو بدك من قلبى هلا انا i miss you 



 

لولو خدك الة طلة انا من باى يو غيرتى

 

حالى ما بعرف شو صار



 

خلق شع نار فينى قلبى مثل الجمرة هزم خلانى



 

ما ادرى 



 

وين قلبى تعب مرة ترى مغلوب مثل ها العين

 

قلبى



 

على امرة عدديت نجمات السماء بالنهار



 

حلوة الدنيا حلوة واللة حلوة طول ما

 

انتى جوة حضنى 



 

طول العمر كلة هنعيشة كلة بالحب كلة ولا

 

ثانية تفوت من غير مانغنى واللة



 

قلبى بالحيل عشق عنيك انتى mon amour



 

بنكون نقول نموتى عليكى انتى تو لامور



 

ونموت فى دقيقة نرضيك انتى شى ها الذى

 

الحور



 

وين ماتكونى نمشى ليك على الجبار



 

انا قلت مرة اتنين تلاتة حبى مولعنى



 

زى طعم الشوكلاتة حبى مدلعنى



 

لولا زايدة فى الالاطة انتى واية يعنى



 

جامدة خالص مفيش هزار



 

زى طعم الشوكلاتة حبك



 

ايامى كاملة كان احلم بيكى بزاف 



 

كان ابغيك



 

ايامى كاملة كان اسهر ليكى بزاف



 

انا احتجليك



 

مو واحدة على بالى غير ايك بالزاف 



 

نموت عليك



 

جاية فى بالى بالاستمرار 



 

ما كو غيرك فى بالى ايش لون انساكى



 

ما كو غيرك عشقك غالى ايش لون ما الاقاكى



 

وان مثلك قمر الليالى ايش لون ما

 

اهواكى 



 

عشق وياكى الحياة والسهر



 

حلوة الدنيا حلوة واللة حلوة طول ما

 

انتى جوة حضنى 



 

طول العمر كلة هنعيشة كلة بالحب كلة ولا

 

ثانية تفوت من غير مانغنى واللة"
"1528755039-796","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني وديع الصافي","http://aghanilyrics.com/allsongslyrics.php?songslyrics=wadih-el-safi&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%88%D8%AF%D9%8A%D8%B9-%D8%A7%D9%84%D8%B5%D8%A7%D9%81%D9%8A","كلمات اغنية بدي حبك وديع الصافي","http://aghanilyrics.com/songlyrics.php?lyrics=7658&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A8%D8%AF%D9%8A-%D8%AD%D8%A8%D9%83-%D9%88%D8%AF%D9%8A%D8%B9-%D8%A7%D9%84%D8%B5%D8%A7%D9%81%D9%8A","بدي حبك مهما صار الهوى لا ذل ولا عار

كرهت الجنة من غيرك كرمالك حبيت النار

كرمالك 



خبر ياللي يلوموني انت الدمعة بجفوني

بين عيونك وعيوني في عقد وحب وأسرار



ياساحرني بجمالك وبغنجك وبدلالك

عالأرض ان رف خيالك

بالأرض يفرخ أزهار



غيرك غيرك مابدي يظهرلي صدق مودة

بحياتك ضلك حدي

من حدي لورحت بغار

اي والله بغار



نحنا عالدنيي جينا نحيي الحب ويحيينا

شوبده العالم فينا نحنا بالهوى أحرار

ياليل ياليل"
"1528756803-1503","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني ميريام فارس","http://aghanilyrics.com/allsongslyrics.php?songslyrics=myriam-fares&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D9%8A%D8%B1%D9%8A%D8%A7%D9%85-%D9%81%D8%A7%D8%B1%D8%B3","كلمات اغنية ايام الشتى ميريام فارس","http://aghanilyrics.com/songlyrics.php?lyrics=2592&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%8A%D8%A7%D9%85-%D8%A7%D9%84%D8%B4%D8%AA%D9%89-%D9%85%D9%8A%D8%B1%D9%8A%D8%A7%D9%85-%D9%81%D8%A7%D8%B1%D8%B3","يا ايام الشتي هبدى اول سنه

لحالى بسهر ليليه لحالى بسهر ليليه

يا ايام الشتي غايب صار لو سنة

من هبديك الشتويه





اول مرة بشوف الليل ناقص بنجومه

اول مرة بيحكى الويل وبيشكيلى همومه

حتى القمر الطالع والمى يلى على الشوارع

كلها عتبان عليك





كل ليلة يا هوا كنا نهرب سوى

ويطل القمر علينا بدو يجمع ايدينا

نحكيلو شو حكي نضحك حتى البكي

من يومها ما تلاقينا مرتت شتويه علينا"
"1528753502-195","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني نجاح سلام","http://aghanilyrics.com/allsongslyrics.php?songslyrics=najah-sallam&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85","كلمات اغنية ضوي يا قمار نجاح سلام","http://aghanilyrics.com/songlyrics.php?lyrics=17949&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B6%D9%88%D9%8A-%D9%8A%D8%A7-%D9%82%D9%85%D8%A7%D8%B1-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85","ضوي يا قمار

ضوي ياقمار .. يانور ونا

طلوا الزوار .. حلوين احبابنا ..

ياتليل اسهر .. تايجن الدار

والورد زرار .. يفتح ع دروبنا ..



ياصوتي غني وطير .. ضلك طاير فينا

خلي هالليل يصير .. من احلى ليالينا

كل ماتلاقينا .. نشبك إيدينا

والساحه فينا تميل .. والدبكه تنادينا



حبيبي لما تطل .. بتلاقيك عيوني

بتندهلك بين الكل .. ياحبي وجنوني

وتقلك اهلاً .. ودنيتنا تحلى

والساحه فينا تميل .. والدبكه تنادينا"
"1528756050-1206","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني مايا نصري","http://aghanilyrics.com/allsongslyrics.php?songslyrics=maya-nasri&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D9%8A%D8%A7-%D9%86%D8%B5%D8%B1%D9%8A","كلمات اغنية اتفقنا مايا نصري","http://aghanilyrics.com/songlyrics.php?lyrics=3302&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D8%AA%D9%81%D9%82%D9%86%D8%A7-%D9%85%D8%A7%D9%8A%D8%A7-%D9%86%D8%B5%D8%B1%D9%8A","م البدايه احنا اتفقنا ننسى كلمه يوم فراقنا

مهما تبعدنا الليالى مش هنبعد عن طريقنا



قلت لك افديك بعمرى قلت لى انا كلى ليك

قلت هاديك عينيا قلت لى غاليين عليك

كنت ليه بتقول دا كله اه يا قلبك عمرى كله

بعد ما انت خدته منى جاى ترجع فى اتفاقنا



اتواعدنا فى بدايتنا مش هنبعد طول حياتنا

ليه نضيع كل حاجه ليه نقول كلمه ياريتنا"
"1528753860-342","http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9","كلمات اغاني ملحم بركات","http://aghanilyrics.com/allsongslyrics.php?songslyrics=melhim-barkat&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D9%84%D8%AD%D9%85-%D8%A8%D8%B1%D9%83%D8%A7%D8%AA","كلمات اغنية حرجت ليلى ملحم بركات","http://aghanilyrics.com/songlyrics.php?lyrics=14779&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%AD%D8%B1%D8%AC%D8%AA-%D9%84%D9%8A%D9%84%D9%89-%D9%85%D9%84%D8%AD%D9%85-%D8%A8%D8%B1%D9%83%D8%A7%D8%AA","حرجت ليلى



حرجت ليلى  يغرك ان ما قالت نعم

اياك تقول لا ان كنت قايل نعم

اترك هوى البيض واتبع ل بنات النعم

الغادرة ابتعد عنها وداريها

والغانية انت خابرها وداريها

وان كنت بنعمة بالعز داريها

كتر المعاصي  عواقبها تزيل النعم



دبك دبك دبيكة اسم الله عليكِ

اسم الله عليكِ 

برمت اسطنبول عليكِ وجبل لبنان



شو جابك ع ديرتنا حبابتنا حبابتنا

منك كانت حبستنا سنتين زمان

سنتين زمان"
